NRG Systems SymphoniePRO Desktop Application
Software Version:	3.16.0.24 (build built by CI server 2024-03-14)
2025-02-12 06:36:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:38:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:40:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:42:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:44:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:46:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:48:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:50:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:52:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:54:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:56:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 06:58:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:00:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:02:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:04:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:06:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:08:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:10:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:12:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:14:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:16:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:18:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:20:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:22:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:24:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:26:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:28:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:30:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:32:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:34:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:36:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:38:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:40:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:42:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:44:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:46:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:48:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:50:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:52:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:54:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:56:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 07:58:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:00:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:02:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:04:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:06:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:08:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:10:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:12:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:14:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:16:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:18:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:20:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:22:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:24:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:26:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:28:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:30:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:32:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:34:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:36:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:38:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:40:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:42:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-12 08:44:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
